date,state,cogs
2018-06-30,Maryland,106.41669999999999
2018-06-30,Ohio,189.741
2018-06-30,Texas,111.70700000000001
2018-05-31,Alabama,13.3416
2018-05-31,Arizona,668.7612
2018-05-31,Arkansas,30.807
2018-05-31,California,8066.598600000001
2018-05-31,Colorado,273.6569
2018-05-31,Connecticut,2.9375999999999998
2018-05-31,Delaware,149.76
2018-05-31,Florida,5476.958
2018-05-31,Georgia,2241.6611999999996
2018-05-31,Idaho,748.5187999999999
2018-05-31,Illinois,979.5561
2018-05-31,Indiana,1474.4778000000001
2018-05-31,Kentucky,170.89520000000002
2018-05-31,Louisiana,215.07459999999998
2018-05-31,Maryland,385.11449999999996
2018-05-31,Massachusetts,45.55199999999999
2018-05-31,Michigan,1502.8715000000002
2018-05-31,Mississippi,24.831899999999997
2018-05-31,Missouri,644.049
2018-05-31,Nevada,1104.2950999999998
2018-05-31,New Hampshire,145.9896
2018-05-31,New Jersey,215.08830000000003
2018-05-31,New York,2145.0219999999995
2018-05-31,North Carolina,1007.2878999999999
2018-05-31,North Dakota,674.9392999999999
2018-05-31,Ohio,1593.5973000000001
2018-05-31,Oregon,305.9248
2018-05-31,Pennsylvania,2333.8548000000005
2018-05-31,South Carolina,268.7444
2018-05-31,Tennessee,402.77479999999997
2018-05-31,Texas,3556.8079
2018-05-31,Virginia,492.70340000000004
2018-05-31,Washington,1502.4596000000001
2018-04-30,Alabama,500.18399999999997
2018-04-30,Arizona,525.7288
2018-04-30,California,7489.604200000001
2018-04-30,Colorado,6057.6542
2018-04-30,Connecticut,280.83549999999997
2018-04-30,Florida,3104.5865000000003
2018-04-30,Georgia,4279.845499999999
2018-04-30,Illinois,1214.9413
2018-04-30,Indiana,159.65359999999998
2018-04-30,Iowa,56.349599999999995
2018-04-30,Kentucky,519.1696
2018-04-30,Maryland,681.615
2018-04-30,Michigan,820.4540000000001
2018-04-30,Missouri,90.2572
2018-04-30,Nevada,125.728
2018-04-30,New Jersey,2063.0099
2018-04-30,New York,2107.4700999999995
2018-04-30,North Carolina,260.8291
2018-04-30,Ohio,1215.0974
2018-04-30,Pennsylvania,1177.8649000000003
2018-04-30,Rhode Island,103.3944
2018-04-30,South Carolina,106.1985
2018-04-30,Tennessee,638.6968
2018-04-30,Texas,2993.6940999999997
2018-04-30,Virginia,37.811600000000006
2018-04-30,Washington,732.983
2018-03-31,Arkansas,21.821399999999997
2018-03-31,California,9694.738800000003
2018-03-31,Colorado,1632.3076
2018-03-31,Connecticut,617.697
2018-03-31,Delaware,449.7732
2018-03-31,Florida,56.336
2018-03-31,Georgia,490.16560000000004
2018-03-31,Illinois,1068.9287000000002
2018-03-31,Indiana,148.7381
2018-03-31,Kentucky,53.144
2018-03-31,Maryland,136.551
2018-03-31,Massachusetts,91.69220000000001
2018-03-31,Michigan,665.7514
2018-03-31,Minnesota,243.82189999999997
2018-03-31,Mississippi,502.4650000000001
2018-03-31,New Jersey,6.526199999999999
2018-03-31,New Mexico,457.14689999999996
2018-03-31,New York,2362.6641999999993
2018-03-31,North Carolina,513.2986
2018-03-31,Ohio,828.8088
2018-03-31,Oklahoma,1458.1392000000003
2018-03-31,Pennsylvania,1392.0013999999999
2018-03-31,Tennessee,2.9375999999999998
2018-03-31,Texas,5878.682199999999
2018-03-31,Virginia,729.9508
2018-03-31,Washington,8712.650799999998
2018-03-31,Wisconsin,1517.2198999999998
2018-02-28,Arizona,1025.1116000000002
2018-02-28,California,5217.0493
2018-02-28,Colorado,6.3666
2018-02-28,Connecticut,506.0235
2018-02-28,Florida,568.658
2018-02-28,Georgia,884.5605999999999
2018-02-28,Illinois,3883.1247999999996
2018-02-28,Iowa,234.28089999999997
2018-02-28,Kansas,142.74899999999997
2018-02-28,Louisiana,20.7036
2018-02-28,Maryland,38.23140000000001
2018-02-28,Minnesota,51.6648
2018-02-28,New Jersey,132.4996
2018-02-28,New York,761.8949000000001
2018-02-28,Ohio,2122.0009
2018-02-28,Oklahoma,14.358999999999998
2018-02-28,Pennsylvania,1203.5742999999998
2018-02-28,Texas,2317.1978
2018-02-28,Virginia,280.77660000000003
2018-02-28,Washington,2037.9192000000003
2018-01-31,Alabama,33.2359
2018-01-31,Arizona,985.1866
2018-01-31,California,3858.353600000001
2018-01-31,Colorado,352.9365
2018-01-31,Connecticut,2.4992
2018-01-31,District of Columbia,42.696
2018-01-31,Florida,111.026
2018-01-31,Georgia,2219.3639999999996
2018-01-31,Illinois,202.468
2018-01-31,Indiana,247.52060000000006
2018-01-31,Iowa,76.3243
2018-01-31,Kansas,105.5808
2018-01-31,Kentucky,1.4094
2018-01-31,Massachusetts,6.858
2018-01-31,Michigan,6648.0004
2018-01-31,Missouri,4412.6776
2018-01-31,Montana,2733.8284999999996
2018-01-31,Nevada,107.8483
2018-01-31,New Hampshire,14.5728
2018-01-31,New Jersey,206.46
2018-01-31,New York,307.6122
2018-01-31,North Carolina,1205.5130000000001
2018-01-31,Ohio,476.8759
2018-01-31,Pennsylvania,3844.4339999999997
2018-01-31,Tennessee,225.94839999999996
2018-01-31,Texas,4961.9919
2018-01-31,Vermont,440.8640000000001
2018-01-31,Washington,1409.7839999999999
2018-01-31,Wisconsin,695.966
2017-12-31,Arizona,738.144
2017-12-31,Arkansas,515.2767
2017-12-31,California,19340.795099999992
2017-12-31,Colorado,836.2334999999998
2017-12-31,Connecticut,652.8223999999999
2017-12-31,Delaware,67.7431
2017-12-31,District of Columbia,20.691200000000002
2017-12-31,Florida,2438.667
2017-12-31,Georgia,2498.4753
2017-12-31,Illinois,1760.8502
2017-12-31,Indiana,1579.8846
2017-12-31,Iowa,61.3952
2017-12-31,Kentucky,1135.6374
2017-12-31,Maryland,255.7275
2017-12-31,Massachusetts,1311.0489000000002
2017-12-31,Michigan,8058.5049
2017-12-31,Minnesota,137.6614
2017-12-31,Mississippi,152.39600000000002
2017-12-31,Nebraska,528.51
2017-12-31,New Jersey,971.9546
2017-12-31,New Mexico,16.667499999999997
2017-12-31,New York,10585.469400000002
2017-12-31,North Carolina,1911.6912000000002
2017-12-31,Ohio,13923.0312
2017-12-31,Oklahoma,38.966800000000006
2017-12-31,Oregon,2335.5273
2017-12-31,Pennsylvania,4010.3638
2017-12-31,Rhode Island,3099.2314000000006
2017-12-31,Tennessee,173.43540000000002
2017-12-31,Texas,3741.0217000000007
2017-12-31,Virginia,2947.2659000000003
2017-12-31,Washington,5294.6984
2017-12-31,Wisconsin,2758.4278000000004
2017-11-30,Alabama,2525.2436
2017-11-30,Arizona,296.76250000000005
2017-11-30,Arkansas,41.986
2017-11-30,California,16520.397900000004
2017-11-30,Connecticut,51.9247
2017-11-30,Delaware,87.71340000000001
2017-11-30,Florida,2034.3045
2017-11-30,Georgia,423.66139999999996
2017-11-30,Illinois,536.8987999999999
2017-11-30,Indiana,2972.8565
2017-11-30,Iowa,383.3052
2017-11-30,Kansas,101.652
2017-11-30,Kentucky,1458.0354000000002
2017-11-30,Maryland,187.3568
2017-11-30,Michigan,1968.6497
2017-11-30,Missouri,62.76119999999999
2017-11-30,New Jersey,2110.8793
2017-11-30,New Mexico,22.460499999999996
2017-11-30,New York,5363.1766
2017-11-30,North Carolina,2383.2855
2017-11-30,Ohio,5572.743399999999
2017-11-30,Oklahoma,2878.3277
2017-11-30,Oregon,1994.9672
2017-11-30,Pennsylvania,2905.5552000000002
2017-11-30,Texas,5727.643000000001
2017-11-30,Virginia,1319.3965999999998
2017-11-30,Washington,1559.9715
2017-11-30,Wyoming,1502.94
2017-10-31,Alabama,189.45299999999997
2017-10-31,Arizona,617.6666
2017-10-31,California,4721.482499999999
2017-10-31,Colorado,4005.4275999999995
2017-10-31,Connecticut,867.9224
2017-10-31,Delaware,4.356
2017-10-31,Florida,1665.8528000000001
2017-10-31,Illinois,1016.8180000000001
2017-10-31,Indiana,9656.3469
2017-10-31,Iowa,5.4945
2017-10-31,Maryland,351.6532
2017-10-31,Michigan,306.24120000000005
2017-10-31,Missouri,1405.3146
2017-10-31,Nevada,2993.7663
2017-10-31,New Jersey,276.3514
2017-10-31,New York,4079.0082000000007
2017-10-31,North Carolina,713.4446
2017-10-31,Ohio,1394.3987000000002
2017-10-31,Oklahoma,732.9583
2017-10-31,Oregon,784.02
2017-10-31,Pennsylvania,384.9104
2017-10-31,Rhode Island,2908.9302000000002
2017-10-31,Tennessee,326.6703
2017-10-31,Texas,2360.5779
2017-10-31,Utah,123.27609999999999
2017-10-31,Virginia,250.912
2017-10-31,Washington,1980.2882
2017-10-31,Wisconsin,1105.3325
2017-09-30,Alabama,1056.8776
2017-09-30,Arizona,619.6691999999999
2017-09-30,Arkansas,124.54
2017-09-30,California,12002.828700000002
2017-09-30,Colorado,829.4312000000001
2017-09-30,Connecticut,26.006399999999996
2017-09-30,Florida,1044.0724
2017-09-30,Georgia,834.8251
2017-09-30,Idaho,882.6411
2017-09-30,Illinois,5024.3
2017-09-30,Indiana,177.2257
2017-09-30,Iowa,197.664
2017-09-30,Kansas,242.77499999999998
2017-09-30,Kentucky,219.60919999999996
2017-09-30,Louisiana,46.2584
2017-09-30,Maine,382.0362
2017-09-30,Maryland,362.2598
2017-09-30,Massachusetts,690.7789
2017-09-30,Michigan,1866.2897
2017-09-30,Minnesota,430.0818
2017-09-30,Missouri,221.5388
2017-09-30,Nebraska,1678.4352999999999
2017-09-30,New Hampshire,19.8303
