invoice_date,invoice_id,state,amount
2015-01-03 00:00:00+00,CA-2015-103800,Texas,16.448
2015-01-04 00:00:00+00,CA-2015-112326,Illinois,288.06
2015-01-05 00:00:00+00,CA-2015-141817,Pennsylvania,19.536
2015-01-06 00:00:00+00,CA-2015-106054,Georgia,12.78
2015-01-06 00:00:00+00,CA-2015-130813,California,19.44
2015-01-06 00:00:00+00,CA-2015-167199,Kentucky,4374.88
2015-01-07 00:00:00+00,CA-2015-105417,Texas,87.15799999999999
2015-01-09 00:00:00+00,CA-2015-135405,Texas,40.544
2015-01-10 00:00:00+00,CA-2015-149020,Virginia,54.83
2015-01-11 00:00:00+00,CA-2015-130092,Delaware,9.94
2015-01-13 00:00:00+00,CA-2015-109232,South Carolina,545.94
2015-01-13 00:00:00+00,CA-2015-118192,Ohio,40.846000000000004
2015-01-13 00:00:00+00,CA-2015-157147,California,1679.749
2015-01-13 00:00:00+00,CA-2015-162775,Louisiana,1287.26
2015-01-14 00:00:00+00,CA-2015-149524,Pennsylvania,61.96
2015-01-15 00:00:00+00,CA-2015-103366,Georgia,149.95
2015-01-16 00:00:00+00,CA-2015-115791,Pennsylvania,299.964
2015-01-18 00:00:00+00,CA-2015-123477,Oregon,64.864
2015-01-19 00:00:00+00,CA-2015-146591,Arizona,378.594
2015-01-20 00:00:00+00,CA-2015-148614,California,38.66
2015-01-20 00:00:00+00,CA-2015-167927,Michigan,708.6160000000001
2015-01-20 00:00:00+00,US-2015-147627,Arkansas,1859.4
2015-01-20 00:00:00+00,US-2015-147774,Tennessee,67.194
2015-01-21 00:00:00+00,CA-2015-110422,Florida,25.248
2015-01-23 00:00:00+00,CA-2015-102645,Nevada,40.08
2015-01-23 00:00:00+00,CA-2015-146997,Indiana,5.94
2015-01-26 00:00:00+00,CA-2015-167997,South Dakota,152.64000000000001
2015-01-26 00:00:00+00,US-2015-155502,Virginia,944.61
2015-01-27 00:00:00+00,US-2015-117163,California,426.67
2015-01-28 00:00:00+00,CA-2015-100328,New York,3.928
2015-01-30 00:00:00+00,CA-2015-134103,Michigan,240.5
2015-01-31 00:00:00+00,CA-2015-115161,California,290.666
2015-02-01 00:00:00+00,CA-2015-140795,Wisconsin,468.9
2015-02-02 00:00:00+00,CA-2015-123400,Florida,199.296
2015-02-02 00:00:00+00,CA-2015-139857,California,12.35
2015-02-03 00:00:00+00,CA-2015-111059,Washington,97.11200000000001
2015-02-04 00:00:00+00,CA-2015-104808,California,17.248
2015-02-04 00:00:00+00,CA-2015-107181,California,117.136
2015-02-06 00:00:00+00,CA-2015-108182,Illinois,8.952
2015-02-06 00:00:00+00,CA-2015-131905,Virginia,321.56
2015-02-07 00:00:00+00,CA-2015-107755,New Jersey,115.36
2015-02-07 00:00:00+00,US-2015-169390,New York,64.96
2015-02-08 00:00:00+00,CA-2015-125759,Nevada,14.56
2015-02-11 00:00:00+00,CA-2015-127614,Virginia,1508.13
2015-02-11 00:00:00+00,CA-2015-168368,Missouri,535.27
2015-02-12 00:00:00+00,US-2015-110674,California,129.568
2015-02-14 00:00:00+00,CA-2015-107706,Texas,16.176
2015-02-14 00:00:00+00,CA-2015-121762,Washington,560.55
2015-02-15 00:00:00+00,CA-2015-165568,Washington,21.36
2015-02-16 00:00:00+00,CA-2015-122567,Texas,9.04
2015-02-17 00:00:00+00,CA-2015-154165,Illinois,54.208
2015-02-18 00:00:00+00,CA-2015-152905,Texas,12.624
2015-02-18 00:00:00+00,US-2015-165589,Texas,25.16
2015-02-20 00:00:00+00,CA-2015-109491,Indiana,82.63
2015-02-20 00:00:00+00,CA-2015-164903,California,12.96
2015-02-21 00:00:00+00,CA-2015-165540,Illinois,8.85
2015-02-22 00:00:00+00,CA-2015-133354,California,19.44
2015-02-23 00:00:00+00,CA-2015-103744,Texas,11.364
2015-02-24 00:00:00+00,US-2015-137680,Oregon,55.672
2015-02-27 00:00:00+00,CA-2015-156545,Ohio,19.456
2015-03-01 00:00:00+00,CA-2015-104269,Washington,457.568
2015-03-01 00:00:00+00,CA-2015-113880,Illinois,651.588
2015-03-01 00:00:00+00,CA-2015-131009,Texas,574.194
2015-03-01 00:00:00+00,CA-2015-168312,Texas,513.861
2015-03-01 00:00:00+00,US-2015-143707,New York,5.94
2015-03-02 00:00:00+00,CA-2015-107524,New York,47.76
2015-03-02 00:00:00+00,CA-2015-111157,Pennsylvania,154.624
2015-03-03 00:00:00+00,CA-2015-105648,California,626.352
2015-03-03 00:00:00+00,CA-2015-127964,New York,161.07
2015-03-03 00:00:00+00,CA-2015-130421,Texas,176.772
