id,title,type,parent_id,parent_title,parent_type
171,test using query,io,,,
543,[Query] Fontana - usfon.tbOEESummary,io,555,[Sequence] Fontana,seq
587,[Sequence] Europoort,seq,96,[Sequence] Run all sites,seq
96,[Sequence] Run all sites,seq,,,
547,[Query] Fontana - usfon.tbResources,io,555,[Sequence] Fontana,seq
545,[Query] Fontana - usfon.tbResourceEvent,io,555,[Sequence] Fontana,seq
550,[Query] Fontana - usfon.tbShiftHistory,io,555,[Sequence] Fontana,seq
551,[Query] Fontana - usfon.tbShifts,io,555,[Sequence] Fontana,seq
553,[Query] Fontana - usfon.tbStatusGroups,io,555,[Sequence] Fontana,seq
571,[Sequence] Melzo,seq,96,[Sequence] Run all sites,seq
405,[Query] prolean_mirror.group_users,io,407,[Sequence] Prolean Mirror,seq
406,[Query] prolean_mirror.users,io,407,[Sequence] Prolean Mirror,seq
408,[Query] prolean_mirror.sites,io,407,[Sequence] Prolean Mirror,seq
409,[Query] prolean_mirror.system_users,io,407,[Sequence] Prolean Mirror,seq
558,[Query] Melzo - itmel.tbLots,io,571,[Sequence] Melzo,seq
560,[Query] Melzo - itmel.tbRecipes,io,571,[Sequence] Melzo,seq
561,[Query] Melzo - itmel.tbResourceEvent,io,571,[Sequence] Melzo,seq
567,[Query] Melzo - itmel.tbShifts,io,571,[Sequence] Melzo,seq
574,[Query] Europoort - nleur.tbLots,io,587,[Sequence] Europoort,seq
575,[Query] Europoort - nleur.tbOEESummary,io,587,[Sequence] Europoort,seq
588,[Query] Van Wert - usvwt.tbInfo,io,603,[Sequence] Van Wert,seq
581,[Query] Europoort - nleur.tbScrapReasons,io,587,[Sequence] Europoort,seq
590,[Query] Van Wert - usvwt.tbLots,io,603,[Sequence] Van Wert,seq
594,[Query] Van Wert - usvwt.tbResourceRecipeJobs,io,603,[Sequence] Van Wert,seq
596,[Query] Van Wert - usvwt.tbScrapCfg,io,603,[Sequence] Van Wert,seq
598,[Query] Van Wert - usvwt.tbShiftHistory,io,603,[Sequence] Van Wert,seq
407,[Sequence] Prolean Mirror,seq,,,
583,[Query] Europoort - nleur.tbShifts,io,587,[Sequence] Europoort,seq
600,[Query] Van Wert - usvwt.tbStatusCfg,io,603,[Sequence] Van Wert,seq
585,[Query] Europoort - nleur.tbStatusGroups,io,587,[Sequence] Europoort,seq
264,[SQL] prolean.tbPlantInfo,sql,512,[Sequence] Prolean Tables,seq
265,[Sequence] Prolean Model,seq,,,
511,[SQL] Stored Procedure - Create all Prolean tables,sql,512,[Sequence] Prolean Tables,seq
508,[SQL] prolean.config,sql,512,[Sequence] Prolean Tables,seq
586,[Query] Europoort - nleur.tbUM,io,587,[Sequence] Europoort,seq
555,[Sequence] Fontana,seq,96,[Sequence] Run all sites,seq
542,[Query] Fontana - usfon.tbLots,io,555,[Sequence] Fontana,seq
573,[Query] Europoort - nleur.tbAlarm,io,587,[Sequence] Europoort,seq
576,[Query] Europoort - nleur.tbRecipes,io,587,[Sequence] Europoort,seq
546,[Query] Fontana - usfon.tbResourceRecipeJobs,io,555,[Sequence] Fontana,seq
404,[Query] prolean_mirror.groups,io,407,[Sequence] Prolean Mirror,seq
544,[Query] Fontana - usfon.tbRecipes,io,555,[Sequence] Fontana,seq
563,[Query] Melzo - itmel.tbResources,io,571,[Sequence] Melzo,seq
548,[Query] Fontana - usfon.tbScrapCfg,io,555,[Sequence] Fontana,seq
562,[Query] Melzo - itmel.tbResourceRecipeJobs,io,571,[Sequence] Melzo,seq
549,[Query] Fontana - usfon.tbScrapReasons,io,555,[Sequence] Fontana,seq
552,[Query] Fontana - usfon.tbStatusCfg,io,555,[Sequence] Fontana,seq
554,[Query] Fontana - usfon.tbUM,io,555,[Sequence] Fontana,seq
556,[Query] Melzo - itmel.tbInfo,io,571,[Sequence] Melzo,seq
557,[Query] Melzo - itmel.tbAlarm,io,571,[Sequence] Melzo,seq
559,[Query] Melzo - itmel.tbOEESummary,io,571,[Sequence] Melzo,seq
564,[Query] Melzo - itmel.tbScrapCfg,io,571,[Sequence] Melzo,seq
572,[Query] Europoort - nleur.tbInfo,io,587,[Sequence] Europoort,seq
577,[Query] Europoort - nleur.tbResourceEvent,io,587,[Sequence] Europoort,seq
565,[Query] Melzo - itmel.tbScrapReasons,io,571,[Sequence] Melzo,seq
578,[Query] Europoort - nleur.tbResourceRecipeJobs,io,587,[Sequence] Europoort,seq
566,[Query] Melzo - itmel.tbShiftHistory,io,571,[Sequence] Melzo,seq
568,[Query] Melzo - itmel.tbStatusCfg,io,571,[Sequence] Melzo,seq
570,[Query] Melzo - itmel.tbUM,io,571,[Sequence] Melzo,seq
589,[Query] Van Wert - usvwt.tbAlarm,io,603,[Sequence] Van Wert,seq
579,[Query] Europoort - nleur.tbResources,io,587,[Sequence] Europoort,seq
509,[SQL] prolean.tbResourceTypes,sql,512,[Sequence] Prolean Tables,seq
592,[Query] Van Wert - usvwt.tbRecipes,io,603,[Sequence] Van Wert,seq
517,[SQL] create data editor tables,sql,,,
595,[Query] Van Wert - usvwt.tbResources,io,603,[Sequence] Van Wert,seq
580,[Query] Europoort - nleur.tbScrapCfg,io,587,[Sequence] Europoort,seq
582,[Query] Europoort - nleur.tbShiftHistory,io,587,[Sequence] Europoort,seq
584,[Query] Europoort - nleur.tbStatusCfg,io,587,[Sequence] Europoort,seq
597,[Query] Van Wert - usvwt.tbScrapReasons,io,603,[Sequence] Van Wert,seq
599,[Query] Van Wert - usvwt.tbShifts,io,603,[Sequence] Van Wert,seq
540,[Query] Fontana - usfon.tbInfo,io,555,[Sequence] Fontana,seq
512,[Sequence] Prolean Tables,seq,265,[Sequence] Prolean Model,seq
541,[Query] Fontana - usfon.tbAlarm,io,555,[Sequence] Fontana,seq
510,[SQL] prolean.tbSubstrate,sql,512,[Sequence] Prolean Tables,seq
569,[Query] Melzo - itmel.tbStatusGroups,io,571,[Sequence] Melzo,seq
603,[Sequence] Van Wert,seq,96,[Sequence] Run all sites,seq
601,[Query] Van Wert - usvwt.tbStatusGroups,io,603,[Sequence] Van Wert,seq
